,Alter bei Riss,Geburt,Liga,Name,Position,Rissdatum,Rissdatum dezimal,Saison,Verein,Verletzungszeit,Webseite
580,19,1999-08-06,laliga,Borja Garcés,Mittelstürmer                            ,2019-03-25,2019.2328767123288,18,Atlético Madrid B,184,https://www.transfermarkt.ch/borja-garces/verletzungen/spieler/566036
581,26,1991-01-27,3-liga,Christian Bickel,Rechtes Mittelfeld                            ,2017-07-29,2017.572602739726,17,VfL Osnabrück,244,https://www.transfermarkt.ch/christian-bickel/verletzungen/spieler/83415
582,23,1988-06-12,serie-a,Mauricio Isla,Rechter Verteidiger                            ,2012-02-12,2012.1150684931506,11,Udinese Calcio,194,https://www.transfermarkt.ch/mauricio-isla/verletzungen/spieler/43722
583,27,1981-06-22,2-bundesliga,Mathias Abel,Innenverteidiger                            ,2009-01-05,2009.013698630137,08,1.FC Kaiserslautern,177,https://www.transfermarkt.ch/mathias-abel/verletzungen/spieler/1678
584,26,1981-06-22,1-bundesliga,Mathias Abel,Innenverteidiger                            ,2007-09-09,2007.682191780822,07,FC Schalke 04,157,https://www.transfermarkt.ch/mathias-abel/verletzungen/spieler/1678
585,30,1986-12-17,laliga,Andrés Fernández,Torwart                            ,2017-08-26,2017.6465753424657,17,FC Villarreal,212,https://www.transfermarkt.ch/andres-fernandez/verletzungen/spieler/57522
586,35,1982-02-09,laliga2,Domingo Cisma,Linker Verteidiger                            ,2017-03-27,2017.2383561643835,16,FC Córdoba,245,https://www.transfermarkt.ch/domingo-cisma/verletzungen/spieler/51535
587,29,1978-08-14,scottish-championship,Neil Scally,Zentrales Mittelfeld                            ,2007-12-01,2007.9068493150685,07,Queen of the South FC,182,https://www.transfermarkt.ch/neil-scally/verletzungen/spieler/14670
588,22,1989-01-06,super-lig,Rahman Soyudogru,Mittelstürmer                            ,2011-03-21,2011.2219178082191,10,SC Rheindorf Altach,178,https://www.transfermarkt.ch/rahman-soyudogru/verletzungen/spieler/43505
589,19,1999-03-19,liga-pro,David Tavares,Offensives Mittelfeld                            ,2018-06-29,2018.490410958904,18,Benfica Lissabon U19,257,https://www.transfermarkt.ch/david-tavares/verletzungen/spieler/416089
590,24,1987-01-09,premier-league,Lucas Leiva,Defensives Mittelfeld                            ,2011-12-01,2011.9068493150685,11,FC Liverpool,196,https://www.transfermarkt.ch/lucas-leiva/verletzungen/spieler/41414
